,review
0,fun reinvention pokémon formula hopefully next version keeps change giving better look 
1,fun challenging times addictive gameplay loop interesting system fighting catching huge step right direction graphics performance multiplayer options need work major flaws story pacing battles catching mechanics exploration general gameplay improvement sword shield sun moon major series changes make big differences quality life limit number moves learn memorized pre battles trade evolve certain anymore using rare items instead exploration crafting gathering finding rare shiny never fun gone much tedium boredom found previous games care graphics online competitive battles find reasons like collecting aspect love worth noting graphics performance issues much less noticeable playing handheld 
2,best time new new stuff new ways catch better gameplay 
3,one outstanding experience certain absolutely love direction gamefreak going whole new installment series refreshing needed time catching fun ever fan since first era firered leafgreen versions way nostalgia trip brand new experience sincerely hope see bigger sequel really deserves one gameplay enhancements maybe bigger map activities cheers haters 
4,incredible moves series forward fresh new direction gameplay loop fun graphics aren great fine gameplay always take precedent graphics legends arceus joy play 
5,addicted new mechanics ideas really fantastic stop playing hrs still put console world really beautifull exploration truly amazing grip performance graphics graphical moments must play sure 
6,spectacular evolution pokémon franchise first moments know stepping new fresh take series continues surprise time time even hours gameplay 
7,delight play perfect evolution saga magnificent exploration completing pokedex satisfying unlike traditional nuisance anything else graphically bad least important fun addictive enjoy 
8,best pokémon ever played feels like thought playing child years ago without imagine much 
9,get way graphics thing imho needs polish still servicable playing hours honestly fun years testing grounds future games style let put graphics aside moment look bigger picture aside graphics want games like sure despite graphics needing deserves 
10,excellent step right direction listen bad reviews weak shall forgotten 
11,finally change saga true consumers demanded hope next generation 1000 pokémon full open world best gen times 
12,terrible graphics technical issues extremely fun addictive gameplay right direction pokémon much enjoyable boring exploration battles exploring crafting discovering new pokémon blast also reviews people obviously didn even bother playing hating looked bad trailers like wrong 
13,overall breath fresh air brings new elements life system otherwise overstayed welcome last decades genuinely hope keep fusion rpg turn based system games follow allowed player actual choice actual exploration felt rewarding whether form finding rare items spawns never felt pointless actually touch every corner admittedly large segmented areas player choice many times marker map indicated needed progress story ignored explore catch train pace fans know isn norm find rare items alpha everything else freely second time stepping fields really nice ontop multiple ways completed pokedex battle capture observe raise learn things see lot people saying felt tedious options didn explore take time read course graphical downside honestly never felt like hindered experience throughout play area need work though going forward without going much since want spoiler free review amazing understand people trying say worse ever exist far worse easily ranks one best imo really hope intend keep formula know revert old system gen9 experiencing fun actually read mechanics side quest give fun idea npcs take world character many aspects lot fun easter eggs keep eyes peeled 
14,best everhistory 10gameplay 10ost 10art graphycs funny 
15,best far world feels immersive gameplay fun escapes old formula getting stale every near enough copy paste last 
16,played literally every pokémon last years still remember sitting car parents got sister gameboy color red sister blue always rival growing trying catch train harder better pokémon trainer sister filled dex first lvl 100 pokémon older internet definitely impacted personal connection pokémon franchise made feel less connected individuals pokémon legends arceus brought personal connection pokémon missed long years yes love old mechanics years think time fresh start arceus see gen whole new pokémon experience feel like fairly compared pokémon yellow first touch multiplayer since see complaining lack multiplayer meant fancy online features take away truest soul heart pokémon reason attached original games connection pokémon trading pokémon feeling get companion worked hard leaves party feel battles coming need build world first arceus needs seen foundation come truly believe gamefreak sees way think starts sent past gyms pokémon centers even people pokémon achieved harmony world isn empty fertile ready civilization established jublife city start mechanic wise revolutionized play pokémon able run throwing pokémon left right gather material cycling get rhythm collecting even faster pokémon helping getting caught pokémon throwing actually run away good distance away pokémon attacking hitting run away button throwing six pokémon interact even running toward enemy pokémon tell pokémon attack mechanics let interact pokémon many ways rating technically damn good start next generation pokémon 
17,waiting since first watched anime kid visuals little lacking everything else amazing inflated battle trolls 
18,long time since picked think alpha sapphire last one remember picking red come long way playing want remake kanto region original 
19,refreshing new take series ball catching mechanics great love options gives graphics could better story also good 
20,new masterpiece brought community try positive elements things improve also try make free spoilers things improve rated things work sure rating based fun urge continue playing things roof blast people around bought seems place totally worth opinion giving absolutely last years hard finish sense getting boring get good part end lets start positives catching mecanics really fun using items lure stun scare new pokeballs play distance surprise blast even every home enjoying catching everything see first time years trying catch surprise also really rewarding fun overworld use able chose throw time really interresting like preparing right pokeball case something goes wrong catching knowing certain type hidden somewhere using best uncover crafting economy meaningful world full resources look money uses hoard giving much players last games point hard spend pokedex feels like really working filling itslef encounter good portion fills itslef playing normally often stop check front see work something pokedex progression also progression really feels like fun goal work combat base elements makes refreshing like status effect example none last forever anymore effects like new sleep drowsy makes receive damage makes moves interresting previous running around thunderwave catching stuff strong agile style interresting combined combat timeline refreshing staying close tradition ivs evs gone replaced new system simpler although didn mind old system bit tedious getting redundant welcome change breeding first shocked removed boring portion opinion wouldnt mind back bit rework feel better without iteration alpha really fun little challenges catch everywhere love shiny hunting fun gosh weird say things work story good story feeling bored like previous recent games feeling like want rush know next maybe better though taken merry time explore experience world fun competitive really need bring battle players future feels option fun part endgame build good team battle graphics sure many people complain graphics even par games like breath wild still never praised graphics lightning seems places rains totally fine battle noble like general idea fun battles little offsetting throw food face calm like hell would calm threw favorite food face idea fun play weird concept inventory mind moving things storage managing inventory surely things done help process boxes guess feel miss couple things improve usage 
21,100 adicted love played since gen1 didnt enjoy games since hooked quests new pokedex mechanics roaming much fun real giv try wont regret 
22,huge step turn based rpgs open world simple yet difficult times company really made hand held games huge step negative come fun fresh new turn based experiance theory get better 
23,really dissapointed every mainline switch far let bdsp inferior versions frlg platinum imo swsh really lacked came exploring content therefore believe gamefreak finally finally made awesome new catching mechanics huge areas explore interesting story terms lot side stuff etc call next level graphics could better aren bad either close look really nice draw render distance could better overall best since oras imo every definitely pick won regret 
24,oops gamefreak awhile since gamefreak released good last one emerald obvi holy arceus know took sooooo long release another masterpiece excited see formula milked next decades thinks looking forward legends kyurem deoxys 
25,finally got long time ago seamless battle great world explore bit freedom want tackle things first real flaw pokedex big move selection bit shortened quite lot repetition lack form pvp even casually aside best experience far 
26,best made years hope continue direction 
27,everything imagined kid things think need adjustment entire absolutely refreshing love able find shiny wild sitting future games absolutely board definitely favorite yet 
28,excellent great start series hope continues evolve put multiple sequels 
29,needed recommend fans well never played 
30,would guess people rating low graphics haven played unreal engine stylization charm visuals nearly bad people claiming ground textures could better visuals also quite attractive changes brings stunning clean sounds music maps unique story excel far know freak company probably money hire best best maybe want support grow teams already giant leap forward innovation pokémon games imagine future get better decide watch streams need better place form opinion open different gaming experiences hyper realism doesn need standard every aaa 
31,great must role playing nintendo switch gameplay amazing well 
32,amazing new beginning pokemón series course graphics could better forget quickly start playing 
33,first want say awesome never believed say thing made love old school fans newcomers 
34,despite graphical problems way franchise walk must rpg fans 
35,enjoyed much love changes made new best last ten years 
36,dont believe rat fan boys says pla great graphics good 2gb graphic card big step done love everything fans need 
37,start yes get people like graphics however someone like grown red early days year old child dream come true love much played feel years playing red first time gameboy colour nostagic aside gameplay super fun everything feels smooth running throwing pokeball shinx immediatly catching another one addicitive fun play first area spend hours already people like ask question really fan get hate graphics aside gamefreak finally shake things hopefully going improve concept gameplay options much better graphics going back filling pokedex 
38,ignore negative reviews ratings made handful miserable people set review bomb 
39,graphics feelings gameplay true rpg pokémon fan 
40,fun playing pokémon since firered refreshing highly addicting gameplay hope pokémon continues trend going forward 
41,let haters detract asking amazing primary reason many upset everything wanted well introduce dizzying array long held changes core life long fans asking giant leap forward makes ever comes next already top watch list lastly matter cage gamefreak pokémon company built much mature story asked put together design much closer show previous date play judge 
42,amazing bad graphics way gamefreak must follow perfect 
43,pokémon rough transition games getting easier point braindead fact routes feel less like places explore like corridors occasional wild pokémon battles designs keep getting worse worse new generation cracks seams became lot noticeable reached peak series made proper jump nintendo switch pokémon sword pokémon shield directed shigeru ohmori cutting half pokédex sell back later line generally looking like upscaled 3ds get long awaited sinnoh remakes pokémon brilliant diamond pokémon shining pearl directed junichi masuda wanted sinnoh remake actually improved gen foundation never going get one modding gets advanced ohmori likely working gen masuda attempting polish bdsp enter kazumasa iwao director pokémon ultra sun ultra moon first era actually feel like think safe say anyone needs director future pokémon games needs iwao ohmori masuda holding series back big jump pokémon needed say delivers yeah visuals aren great either feel grindy like collectathon every pokémon catch making progress currently start 5th area reason didn make review sooner much fun could well shape future pokémon want visual novels occasional monster catching elements actual games sink time want latter buy 
44,good gamefreak really outdid time time recommend enough gotten tired burned usual formula 
45,compared previous entries franchise one hell really good way 
46,great new experience love pokémon love nintendo exclusive buy friend 
47,best ever made faults comparing older games clearly best people giving negative reviews clearly people arent want jump gamefreak lazy hate train everyone know loves playing non stop someone got early battled arceus one fun boss battles ever played overall fantastic 
48,solid great evolution giving review bombing mad fun uwu 
49,perfect even graphics world blurry bad textures approve experience play pokémon breath wild zelda 
50,kind asking years since black white franchise needed change 
51,fantastic yes graphically could better least doesn effect entertainment level case thing really mattering much fun started hard stop hours gameplay loop feels good much one thing sort loop doubt favorite pokémon ever released hope next big title learns pokémon back baby 
52,problems sure boy fantastic make pokémon games like please 
53,thing could improve graphics huge step forward 
54,summation various concepts cooked within franchise years fantastic knows innovate also knows keep personally get screen switch catching pokémon fighting kinds wild creatures totally stimulatinggame freak deserves love 
55,graphics aside think best franchise far 
56,amazing gameplay feels fresh makes really feel like interacting world pokémon 
57,fun pokémon years exploring different areas completing hisui pokédex addictive hope future installments build currently set legends arceus 
58,even factoring technical issues terribly good couldn imagine immersive setting gameplay smoothness gameplay loop ridiculously good truly fun like first time played living wonder felt diving hyrule botw rounded details shadows dealt properly rest pretty much everything ever wanted little 
59,extremely fun playing since blue red yellow came really nice turn achieved totally different traditional love wide open world everywhere waiting since kid others said graphics bit meh still really fun dangerous change imo worked let hope improve upon next 
60,love new direction great hope freak expand gameplay unique capable making work 
61,best way way back needed 
62,way pokémon games graphics bad actually sort unique pokémon games amazingly satisfying 
63,looks like finally listen lot pointless going give hope continue path continue improving franchise need put effort graphics love style lot graphical problems also make world feel alive interactive npcs also want see dungeons caves moves see improve battle system 
64,easily one best games released years highly recommend anyone 
65,gameplay addictive innovative good rate equalizes downsides graphics sometimes bad general graphics actually good similar breath wild sound good echoes caves different great music situation like nearby strong enemies finally love last games bad finally masterpiece mechanics fun enough keep playing 
66,easily best pokémon come gamefreak new mechanics work flow really nicely yes graphics aren amazing good 
67,evolution franchise needed hope next follows path one 
68,absolutely addicted fantastic shake formula best pokémon experience far date 
69,entertaining pokémon ever much done right make forgive one big problem underwhelming graphics perfect 
70,bold move freak changing entire formula succesful franchise like pokémon believe begining new generation pokémon games happy part awesome fun beautiful listen haters graphics weebs people doesn like good changes enjoy adventure 
71,best ever played innovations successful gamefreak shown whenever wants 
72,total step right direction perfect first iteration something new comes close haven engrossed spend many hours playing quite long time 
73,graphics great aside one enjoyable games ever played might enjoyable people really giving zero like graphics new forms 
74,tired pokémon games years loved start finish perfect blend nostalgia innovation perfect huge step right direction hope continue new style games freak makes day one new games 
75,best series gets book lol 
76,best pokémon since pokémon black white like new action stealth elements 
77,probably best pokémon switch yet definitely fun anyone complaining graphics lack pokémon need see best jump forward video franchise brilliant 
78,great stepping stone franchise hopefully gen builds everything world seamless fun sink endless hours 
79,best pokémon ever played doubt mean seriously change needed 
80,incredible lacked funnyan incredible lacked interesting funny really liked lot really like lot 
81,nedeed future please one 
82,best yet definitely worth time money investment definitely step developers freak look forward bring future proud entry canon 
83,muito bão mas muito bão mesmo isso sim good forever play nice camon inthe well world chapion easy boy definitive note maxima inthe family 
